tag;id;titre;url;ancre
algebre::valeurs-singulieres;p04-03;Spectral, SVD, conditionnement;https://learnings-ek5.pages.dev/sheets/chains/chain-p04-03-spectral-svd-conditionnement.html;
analyse::chain-rule;p08-01;Jacobienne, chain rule, backprop;https://learnings-ek5.pages.dev/sheets/chains/chain-p08-01-jacobienne-chain-rule-backprop.html#s3;s3
analyse::gradient-jacobienne;p03-02;Gradient et descente;https://learnings-ek5.pages.dev/sheets/chains/chain-p03-02-gradient-descente.html;
analyse::gradient-jacobienne;p08-01;Jacobienne, chain rule, backprop;https://learnings-ek5.pages.dev/sheets/chains/chain-p08-01-jacobienne-chain-rule-backprop.html;
coding::3sum;c02;Deux pointeurs — éliminer une classe à chaque pas;https://learnings-ek5.pages.dev/sheets/coding/coding-02-deux-pointeurs.html#s5;s5
coding::amortissement;c01;Fenêtre glissante — fixe, variable, avec budget;https://learnings-ek5.pages.dev/sheets/coding/coding-01-fenetre-glissante.html#s4;s4
coding::arbres;c05;Arbres — récursion, parcours, bornes;https://learnings-ek5.pages.dev/sheets/coding/coding-05-arbres.html;
coding::balayage;c08;Intervals — trier par début, garder le dernier fusionné;https://learnings-ek5.pages.dev/sheets/coding/coding-08-intervals.html;
coding::bfs;c05;Arbres — récursion, parcours, bornes;https://learnings-ek5.pages.dev/sheets/coding/coding-05-arbres.html;
coding::bfs;c06;Graphes — marquer à l'enfilement;https://learnings-ek5.pages.dev/sheets/coding/coding-06-graphes.html;
coding::binary-search;c03;Binary search — le premier vrai;https://learnings-ek5.pages.dev/sheets/coding/coding-03-binary-search.html;
coding::bst;c05;Arbres — récursion, parcours, bornes;https://learnings-ek5.pages.dev/sheets/coding/coding-05-arbres.html;
coding::bucket-sort;c07;Heap — le minimum est le seuil d'entrée;https://learnings-ek5.pages.dev/sheets/coding/coding-07-heap.html;
coding::complexite;c00;TAP — invariant, variant, conclusion, complexité;https://learnings-ek5.pages.dev/sheets/coding/coding-00-tap-invariant-variant.html#s5;s5
coding::deux-pointeurs;c01;Fenêtre glissante — fixe, variable, avec budget;https://learnings-ek5.pages.dev/sheets/coding/coding-01-fenetre-glissante.html;
coding::deux-pointeurs;c02;Deux pointeurs — éliminer une classe à chaque pas;https://learnings-ek5.pages.dev/sheets/coding/coding-02-deux-pointeurs.html#s5;s5
coding::dfs;c05;Arbres — récursion, parcours, bornes;https://learnings-ek5.pages.dev/sheets/coding/coding-05-arbres.html;
coding::dfs;c06;Graphes — marquer à l'enfilement;https://learnings-ek5.pages.dev/sheets/coding/coding-06-graphes.html;
coding::dp;c09;DP 1D — un sous-problème par position;https://learnings-ek5.pages.dev/sheets/coding/coding-09-dp-1d.html;
coding::dummy-head;c04;Listes chaînées — pointeurs qui se suivent;https://learnings-ek5.pages.dev/sheets/coding/coding-04-listes-chainees.html;
coding::elimination;c02;Deux pointeurs — éliminer une classe à chaque pas;https://learnings-ek5.pages.dev/sheets/coding/coding-02-deux-pointeurs.html#s3;s3
coding::fenetre-glissante;c01;Fenêtre glissante — fixe, variable, avec budget;https://learnings-ek5.pages.dev/sheets/coding/coding-01-fenetre-glissante.html;
coding::graphes;c06;Graphes — marquer à l'enfilement;https://learnings-ek5.pages.dev/sheets/coding/coding-06-graphes.html;
coding::heap;c07;Heap — le minimum est le seuil d'entrée;https://learnings-ek5.pages.dev/sheets/coding/coding-07-heap.html;
coding::intervals;c08;Intervals — trier par début, garder le dernier fusionné;https://learnings-ek5.pages.dev/sheets/coding/coding-08-intervals.html;
coding::invariant;c00;TAP — invariant, variant, conclusion, complexité;https://learnings-ek5.pages.dev/sheets/coding/coding-00-tap-invariant-variant.html#s2;s2
coding::kadane;c09;DP 1D — un sous-problème par position;https://learnings-ek5.pages.dev/sheets/coding/coding-09-dp-1d.html;
coding::lent-rapide;c04;Listes chaînées — pointeurs qui se suivent;https://learnings-ek5.pages.dev/sheets/coding/coding-04-listes-chainees.html#s5;s5
coding::listes-chainees;c04;Listes chaînées — pointeurs qui se suivent;https://learnings-ek5.pages.dev/sheets/coding/coding-04-listes-chainees.html;
coding::monotone;c03;Binary search — le premier vrai;https://learnings-ek5.pages.dev/sheets/coding/coding-03-binary-search.html;
coding::recherche-sur-reponse;c03;Binary search — le premier vrai;https://learnings-ek5.pages.dev/sheets/coding/coding-03-binary-search.html;
coding::recurrence;c09;DP 1D — un sous-problème par position;https://learnings-ek5.pages.dev/sheets/coding/coding-09-dp-1d.html;
coding::tap;c00;TAP — invariant, variant, conclusion, complexité;https://learnings-ek5.pages.dev/sheets/coding/coding-00-tap-invariant-variant.html;
coding::top-k;c07;Heap — le minimum est le seuil d'entrée;https://learnings-ek5.pages.dev/sheets/coding/coding-07-heap.html;
coding::topo;c06;Graphes — marquer à l'enfilement;https://learnings-ek5.pages.dev/sheets/coding/coding-06-graphes.html;
coding::tri;c08;Intervals — trier par début, garder le dernier fusionné;https://learnings-ek5.pages.dev/sheets/coding/coding-08-intervals.html;
dl::backprop;b01;Une seule descente;https://learnings-ek5.pages.dev/sheets/bridges/bridge-01-une-seule-descente.html;
dl::backprop;p08-01;Jacobienne, chain rule, backprop;https://learnings-ek5.pages.dev/sheets/chains/chain-p08-01-jacobienne-chain-rule-backprop.html#s6;s6
dl::cross-entropy;p02-01;Du bruit à la loss;https://learnings-ek5.pages.dev/sheets/chains/chain-p02-01-bruit-vraisemblance-loss.html;
dl::cross-entropy;p03-01;Critère en escalier vs critère sensible;https://learnings-ek5.pages.dev/sheets/chains/chain-p03-01-critere-escalier-vs-sensible.html;
dl::cross-entropy;p08-03;Cross-entropy, entropie, KL;https://learnings-ek5.pages.dev/sheets/chains/chain-p08-03-cross-entropy-entropie-kl.html;
dl::log-sum-exp;p08-02;Flottants et log-sum-exp;https://learnings-ek5.pages.dev/sheets/chains/chain-p08-02-flottants-lse.html#s6;s6
